title,authors,publisher,blurb
Tuvimos Un Hijo Libro Completo Parte 3, Astrid Breiter,Astrid Breiter,"Descubre una de las novelas más exitosas del 2022 por fin completa y en español para ti. Capitulos  disponibles para lectura inmediata. Vive junto a Anastasia las aventuras más increíbles y dejate llevar por el amor, la intriga, el romance."
Los tipos malos en el peor día del mundo (The Bad Guys in the Baddest Day Ever), Aaron Blabey,"Scholastic, Inc.","NOW A MAJOR MOTION PICTURE! ¡Salve al príncipe heredero Mermelada! ¡Pliégate a su malvada magnificencia! ¡Arrodíllate ante su gloria de manos de traseros! O... si quieres... ¡NO! Puede que los Tipos Malos y las Chicas Aún Peores hayan sido derribados, pero ¿significa eso que se quedarán en el suelo? ¡De ninguna manera, muchachos! Ponte los pantalones de fiesta: ¡se acerca la batalla definitiva entre malo y MAAAAAALO!All hail Crown Prince Marmalade! Surrender to his evil magnificence! Kneel before his butt-handed glory! Or...like...DON'T! The Bad Guys and even Badder Girls might have been knocked down, but does that mean they'll stay down? No way, chicos! Pull on your party pants-it's the ultimate battle between Bad and BAAAAAAD!"
La Princesa de Negro y la cita misteriosa / The Princess in Black and the Mysterious Playdate, Shannon Hale,PRH Grupo Editorial,"¡Narices y trompas de elefante! Un monstruo devorador de mascotas interrumpe una perfecta cita de juegos con la princesa Margarita... pero ¿quién es esa nueva guardiana enmascarada?  La princesa Magnolia y la princesa Margarita tienen planes. . . ¡Planes misteriosos, como una cita de juegos entre princesas! ¡Se disfrazan, hacen karaoke, juegan diferentes juegos y preparan deliciosas meriendas! Pero luego, un grito afuera del castillo de la princesa Margarita interrumpe su diversión. ¡Es un monstruo tratando de comerse el gatito de alguien! Esta es una tarea para la Princesa de Negro. Sin embargo, cuando la Princesa de Negro llega a rescatar al gatito, solo encuentra a una enmascarada desconocida y ningún monstruo a la vista . . . ¿Estará viendo bien?   La acción y el humor abundan en esta oda a la amistad y demuestran que cuando los monstruos se entrometen en tus planes, dos héroes son mejores que uno.  ENGLISH DESCRIPTION  Nose holes and elephants! A pet-eating monster interrupts a perfect playdate with Princess Sneezewort… but who is that new masked avenger?   Princess Magnolia and Princess Sneezewort have plans . . . mysterious plans, like a princess playdate! They dress-up slam! They karaoke jam! They playhouse romp and snack-time stomp! But then a shout from outside Princess Sneezewort's castle interrupts their fun. It’s a monster trying to eat someone’s kitty! This is a job for the Princess in Black. Yet when the Princess in Black gets there, she finds only a masked stranger and no monster in sight . . . or is there?   Action and humor abound in this ode to friendship that proves that when shape-shifting monsters intrude on your plans, two heroes are better than one."
"Reina Valera Revisada, Biblia de Referencia Thompson, Leathersoft, Café, Palabras de Jesús en Rojo",   Charles Thompson Reina Valera Revisada Vida,Vida,"Una herramienta fácil de utilizar para estudiar la Biblia en profundidad Con un sistema de referencia patentado, apreciado y aclamado por más de cinco generaciones, las Biblias de Referencia Thompson RVR no tienen comparación en su capacidad para enriquecer los devocionales personales, el estudio de temas y la preparación de sermones. Este sistema, fácil de aprender y de usar, le permite ver la amplitud de las enseñanzas de las Escrituras sobre miles de temas. Con más de 100.000 referencias listadas en los márgenes de la Biblia, que cubren más de 8.000 temas, el sistema de referencias en cadena es una herramienta ideal para el estudio exhaustivo de temas. También puede ampliar su estudio bíblico con más herramientas, incluyendo bosquejos biográficos, y esquemas de cada libro de la Biblia. La Biblia de Referencias en Cadena Thompson permite que las Escrituras se interpreten a sí mismas sin necesidad de comentarios. Características Texto completo de la Reina Valera Revisada (RVR) Letra exclusiva fácil de leer Comfort Print® de Vida Sistema de referencias en cadena fácil de usar con más de 100.000 Las referencias abarcan más de 8.000 temas, cada uno con su propio número de la cadena temática para facilitar un estudio exhaustivo del tema Índices alfabéticos y numéricos completos que enumeran los 8.000 temas con sus correspondientes números de cadena temática y referencias bíblicas para un estudio exhaustivo por temas Ayudas de estudio bíblico actualizadas, como reseñas biográficas de los personajes más destacados de la Biblia, un glosario, una concordancia, armonías bíblicas y esquemas de cada libro de la Biblia Introducciones a cada libro con palabras y versículos clave para enriquecer su estudio 16 mapas a todo color Palabra de Jesús en rojo Canto dorado Hermosa presentación en Leathersoft Tipo de letra a 9.5 puntos RVR Thompson Chain Reference Bible, Leathersoft, Brown, Red Letter An easy-to-learn, easy-to-use tool for in-depth Bible study Read Full Overview"
"La Disputa por México: Dos proyectos, frente a frente, para 2024",  Alejandro Páez Varela Álvaro Delgado Gómez,Grupo Nelson,"México vive una guerra interna por el control de la Nación. Dos polos, dos bandos, dos ejércitos con dos ideas distintas de República buscan controlar su destino. Durante 40 años, el país estuvo montado sobre los rieles del neoliberalismo; 40 años en los que se acentuaron la pobreza y la desigualdad, mientras se consolidaba el control de una élite sobre las políticas públicas, las instituciones, la economía, la educación de las masas y hasta sobre los órganos autónomos. Esa élite tomó decisiones que impactaron en la vida de millones de mexicanos. La élite, sin embargo, perdió el poder hegemónico. Una fuerza surgida de la izquierda, abiertamente opositora al neoliberalismo –pero aún metida en esos zapatos–, tomó el control federal en 2018. No ha asumido del todo las riendas de la economía, de las políticas públicas o de las instituciones de la Nación y enfrenta fuertes resistencias del grupo que dominó al país. The Dispute over Mexico Mexico is living an internal war for the control of the Nation. Two poles, two sides, two armies with two different ideas of the Republic seek to control its destiny. For 40 years, the country was mounted on the rails of neoliberalism; 40 years in which poverty and inequality were accentuated, while the control of an elite over public policies, institutions, the economy, the education of the masses and even over autonomous bodies was consolidated. This elite made decisions that impacted the lives of millions of Mexicans. The elite, however, lost hegemonic power. A force emerged from the left, openly opposed to neoliberalism -but still tucked into those shoes-, took federal control in 2018. It has not fully taken over the reins of the economy, public policies or the Nation's institutions and faces strong resistance from the group that dominated the country."
Harry Potter y las reliquias de la muerte (20 Aniv. Gryffindor) / Harry Potter a nd the Deathly Hallows (Gryffindor), J K Rowling,PRH Grupo Editorial,"Siempre tendrás una casa en Hogwarts.  Edición del vigésimo aniversario de Harry Potter y las reliquias de la muerte.  «La clásica saga de J. K. Rowling te llevará de vuelta al Colegio Hogwarts de Magia y Hechicería.»   Con motivo de la celebración del veinte aniversario de la primera publicación de Harry Potter, se publican estas preciosas ediciones que rinden homenaje al carácter noble de las cuatro casas de Hogwarts. Con ilustraciones nuevas en el interior y un diseño único en las cubiertas, obra de Levi Pinfold, ganador de la Medalla Kate Greenaway, cada uno de los libros contiene material adicional exclusivo sobre cada casa.   Una edición única que no puedes perderte si alguna vez te has imaginado sentado bajo el Sombrero Seleccionador en el Gran Comedor de Hogwarts.  ENGLISH DESCRIPTION  Celebrate Harry Potter’s 20th anniversary with this special edition of Harry Potter and the Deathly Hallows.  WEAR YOUR HOGWARTS HOUSE COLORS WITH PRIDE!  It all comes down to this – a final faceoff between good and evil. You plan to pull out all the stops, but every time you solve one mystery, three more evolve. Do you stay the course you started, despite your lack of progress? Do you detour and follow a new lead that may not help? Do you listen to your instincts, or your friends?  Lord Voldemort is preparing for battle and so must Harry. With Ron and Hermione at his side, he’s trying to hunt down Voldemort’s Horcruxes, escape danger at every turn, and find a way to defeat evil once and for all. How does it all end? Find out in Harry Potter and the Deathly Hallows."
La panza del Tepozteco (Edición 30 Aniversario) / The Belly of Tepozteco, José Agustín Ramírez,PRH Grupo Editorial,"Un grupo de amigos viaja al Tepozteco y cree descubrir que dentro de la montaña se han refugiado los dioses antiguos del panteón azteca. La narrativa de José Agustín posee un registro variado, que se expresa con buena fortuna y en formas diversas. Prueba de esto es La panza del Tepozteco, novela dirigida a lectores jóvenes que, sin embargo, el público adulto disfruta gozosamente.   Bajo la piel de una novela de aventuras, La panza del Tepozteco indaga en torno a la pervivencia de los mitos prehispánicos mediante la mirada de seis niños citadinos –Tor, Homero, Érika, Alain, Selene y Yanira.   Los personajes descubren que los dioses antiguos del panteón azteca se han refugiado en el corazón de la montaña. La presencia de los pequeños, su entrada en el santuario, desatará una lucha entre deidades: algunas, como Tona, buscarán protegerlos, mientras que otras intentarán sacrificarlos, dejando atrás las enseñanzas de Quetzalcóatl.   José Agustín narra las peripecias de los niños con una enorme soltura impactante: su capacidad para expresar el mundo de los adolescentes, un mundo casi infantil, entrelazándolo por momentos con el mundo antiguo, es sorprendente.  ENGLISH DESCRIPTION  The Belly of Tepozteco, José Agustín’s work is wide-ranging in register, accomplished, and variegated. Proof of this is that The Belly of Tepozteco, a book meant for a young audience, can nevertheless be fully enjoyed by an adult reader.    Under the guise of an adventure novel, The Belly of Tepozteco explores the continued existence of pre-Columbian myths as seen through the eyes of six city kids —Tor, Homero, Érika, Alain, Selene and Yanira. The characters discover that the gods of the old Aztec pantheon have taken refuge in the heart of the mountain, and the children’s presence and entrance into the sanctuary will unleash a war among the deities: some, like Tona, will try to protect them; others will attempt to sacrifice them, forsaking the teachings of Quetzalcóatl.     José Agustín narrates the kid’s adventures with amazing ease: his ability to depict the teenage world —an almost childlike universe —and intertwine it with old traditions is wondrous. Read Full Overview"
La Bruja, Christopher Graham,Christopher Graham,"Ella buscó el aroma y lo encontró en la costa. En la isla porque Nicole advirtió para que no se atreviera a acercarse para que pudiera ser seguro. Se ve aún más hermoso que el sol. La luz del sol brillaba sobre él, la piel blanca como la nieve se dispersaba ligera. Aunque era muy débil a primera vista, parecía más deslumbrante que cualquier tipo de joya. Nicole estaba atónito, en este momento, era inesperado. ¿Haciendo que su aura se oscureciera? Ella voló junto a él, preguntando: ""¿A dónde ir?"" Escuchar sus palabras, tan asustada hasta el punto de carecer en el mar. Nicole chupar su ropa, tirarlo sobre su espalda, luego llevarlo. , convirtiéndose en un rey de un país. Nuevamente encarcelado en este desierto, sufrimiento, sin libertad. Pero, la espada en su mano no pudo ser apuñalada sin piedad en los ojos."
"De Lukov, con amor / From Lukov With Love", Mariana Zapata,PRH Grupo Editorial,"Una historia de amor en la que el odio entre los protagonistas se derrite sobre el hielo.  LA REINA DEL ROMANCE A FUEGO LENTO LLEGA CON SU LIBRO MÁS VIRAL.   «Mariana Zapata juega en su propia liga, una en la que la más insignificante caricia, mirada o palabra entre los protagonistas es capaz de hacer que tu corazón salte, haga piruetas o ejecute un precioso axel». –Elena Armas, autora de Farsa de amor a la española   Si alguien le pidiera a Jasmine Santos que describiera la última época de su vida con una sola palabra, seguramente utilizaría una que habría que censurar. Después de años de dedicación e incontables huesos y compromisos rotos, sabe que su oportunidad para dedicarse profesionalmente al patinaje artístico está esfumándose. Sin embargo, cuando la oferta que tanto estaba esperando por fin llega, lo hace de la mano de un idiota arrogante que es, además, su némesis.   Pero tal vez haya llegado el momento de que Jasmine reconsidere muchas cosas... Entre ellas, a Ivan Lukov.  ENGLISH DESCRIPTION  If someone were to ask Jasmine Santos to describe the last few years of her life with a single word, it would definitely be a four-letter one.   After seventeen years—and countless broken bones and broken promises—she knows her window to compete in figure skating is coming to an end.   But when the offer of a lifetime comes in from an arrogant idiot, she’s spent the last decade dreaming about pushing in the way of a moving bus, Jasmine might have to reconsider everything.   Including Ivan Lukov.  "
Luna!,  Stacy McAnulty Stevie Lewis,"Obelisco, Ediciones S.A.","La LUNA es un satélite natural (y mejor amiga) de la Tierra. Pasa su tiempo girando alrededor de la Tierra y sobre sí misma. La Luna no habría completado este libro sin el generoso apoyo de Stacy McAnulty con sus palabras, de Stevie Lewis con su arte y del Sol con su fuerza de la gravedad. La Luna es la estrella de nanas, canciones, relatos y leyendas, pero éste es el primer libro que ha escrito para niños. Aprende curiosidades que sabías (y que desconocías) sobre la LUNA, la mejor amiga de la Tierra de una forma entretenida, divertida y muy visual. Las ilustraciones de Stevie Lewis y el texto desenfadado y divertido de Stacy McAnulty crean el tándem perfecto para apreciar y valorar a nuestro satélite más querido. The MOON is a natural satellite (and best friend) of the Earth. It spends time spinning around the Earth and on itself. The Moon would not have completed this book without the generous support of Stacy McAnulty with her words, Stevie Lewis with his art and the Sun with its force of gravity. The Moon is the star of lullabies, songs, stories and legends, but this is the first book she has written for children. Learn about the curiosities that you have (and that you did not know of) about the MOON, the best friend of the Earth in an entertaining, fun and very visual way. Illustrations by Stevie Lewis and light-hearted, playful text by Stacy McAnulty, create the perfect tandem to appreciate and value our most beloved satellite."
Contabilidad para principiantes y dummies, Giovanni Rigters,Giovanni Rigters,"¿Está interesado en aprender los fundamentos de la contabilidad? Ya sea propietario de una empresa, estudiante o consumidor, la información contable es esencial en los negocios y en el día a día. La contabilidad desempeña un papel importante en el seguimiento de los ingresos y los gastos, la gestión del flujo de caja y la declaración de impuestos. Para las empresas, es crucial comprender algunos fundamentos de la contabilidad para entender cómo dirigir un negocio. La contabilidad se considera el corazón de cualquier empresa, ya sea grande, pequeña, comercial o sin ánimo de lucro."
"G.O.A.T. en el fútbol (Soccer's G.O.A.T.): Pelé, Lionel Messi y más", Jon M Fishman,Lerner Publishing Group,"Hay muchos jugadores de fútbol increíbles, pero ¿quiénes son los mejores de todos los tiempos? Los lectores aprenderán todo sobre el deporte, incluidas sus principales estrellas, estadísticas increíbles y más, presentadas en un atractivo formato con los diez mejores. There are many amazing soccer players—but who are the greatest of all time? Readers learn all about the sport, including its top stars and incredible statistics, presented in an engaging top-ten format."
DIOS en mi vida, Ernestina Sanchez,"Page Publishing, Inc.","En este libro el protagonista es Dios. Pues es el quien hizo las maravillas que aqui se plasman, mostrandonos que para el no hay vidas pequenas, todo lo contrario, exalta al que esta desvalido, consuela y cura las heridas del que se siente solo y a quien lo busca le da su perdon, lo colma de amor y llena su vida de bendiciones. ?Quieres enterarte de las cosas extraordinarias que ha hecho en la vida de una mujer como yo?"
Los genios, Jaime Bayly,Galaxia Gutenberg,"García Márquez y Vargas Llosa se conocieron en el aeropuerto de Caracas, en agosto de 1967. Con apenas treinta y un años, Vargas Llosa era ya un escritor aclamado por la crítica. García Márquez, cuarenta años cumplidos, encontraba por fin el éxito editorial con Cien años de soledad, publicada ese año en Buenos Aires. Antes de confundirse en un abrazo en el aeropuerto de Caracas que dio inicio formal a la amistad, los dos genios de la literatura se habían escrito cartas y leído mutuamente con admiración. Se hicieron amigos entrañables, vecinos en el barrio de Sarrià en Barcelona y hasta compadres. Vargas Llosa publicó en 1971 un libro en homenaje a García Márquez, titulado Historia de un deicidio. Contra todo pronóstico, la amistad se envenenó y estropeó para siempre. En febrero de 1976, Vargas Llosa le dio una trompada a García Márquez en un teatro en Ciudad de México, derribándolo y dejándolo aturdido, con un ojo morado y la nariz rota, al tiempo que le decía: ""Esto es por lo que le hiciste a Patricia"". ¿Qué le hizo García Márquez a Patricia Llosa, la esposa de Mario? ¿Por qué Vargas Llosa le asestó un puñetazo a García Márquez? ¿Qué circunstancias íntimas corrompieron aquella amistad que parecía inquebrantable? ¿Por qué no volvieron a reunirse ni hablarse durante décadas? ¿Por qué se volvieron enemigos irreconciliables, incapaces de perdonarse, a pesar de los esfuerzos de su agente literaria Carmen Balcells? Los genios, la novela más ambiciosa y fascinante de Jaime Bayly, recrea con formidables bríos narrativos los años gloriosos en que García Márquez y Vargas Llosa fueron grandes amigos y explora, desde las licencias de la ficción, los secretos, las felonías, las delaciones y las iras volcánicas que dinamitaron estruendosamente esa amistad que parecía irrompible."
"Aprende Japonés Hiragana, Katakana y Kanji N5 - Libro de Trabajo para Principiantes: La guía de estudio paso a paso fácil y el libro de práctica de escritura: la mejor manera de aprender japonés y cómo escribir el alfabeto de Japón", George Tanaka,Polyscholar,"¡Simplemente nuestro mejor libro de trabajo para principiantes que aprenden japonés! Está repleto de información práctica y útil y guías paso a paso para que el aprendizaje sea más fácil y rápido: Diagramas de orden de trazos e instrucciones de escritura Tarjetas hiragana, katakana y kanji para recortar y guardar Más de 200 páginas de práctica de caligrafía japonesa Introducción a los Sistemas Alfabéticos de Japón Perfecto para niveles principiantes, elementales y de perfeccionamiento Este libro japonés es adecuado tanto para adultos como para niños que quieran aprender Hiragana, Katakana y Kanji, o para aquellos que buscan mejorar sus habilidades de escritura. Ha sido diseñado con ejercicios de autoaprendizaje y páginas de práctica de estilo de cómo escribir. ¡Hemos incluido conjuntos de páginas de tarjetas flash Hiragana, Katakana y Kanji que puede fotocopiar o recortar y guardar también! Su tutor, George Tanaka, le enseñará todo lo que necesita saber sobre los scripts de Kana, ¡con los detalles suficientes para que pueda comenzar rápidamente! Ya sea que vivas en casa o en el extranjero, aprendas por ti mismo o simplemente busques un regalo para un amigo que habla un idioma extranjero, este libro es la mejor manera de comenzar a aprender japonés. Haz clic en ""Añadir al carrito"" para comenzar tu viaje. Producimos una variedad de útiles libros de texto y recursos que cubren todo tipo de temas. ¡Asegúrese de consultar nuestra página de autor para encontrar su próxima lección!"
Claves feministas para la negociación en el amor, Marcela Lagarde,Siglo XXI Editores México,"La desigualdad de género ha sido histórica y universal. Las mujeres han tenido que luchar por cada uno de sus derechos en todos los ámbitos, el diplomático no ha sido la excepción. Gracias al feminismo se inició el estudio de la historia con perspectiva de género, en los años sesenta del siglo pasado. Con esta óptica, nos dimos a la tarea de convocar a miembros del servicio exterior, de la academia y del ámbito cultural de nuestro país, para estudiar las acciones de las primeras diplomáticas mexicanas y visibilizar sus acciones. La obra que presentamos contiene las semblanzas de diez destacadas mujeres que fueron protagonistas de la política exterior de México a lo largo del siglo xx, desde el triunfo de la Revolución mexicana hasta la primera canciller de nuestro país. Diplomáticas mexicanas presenta al público lector dos tipos de textos, los testimoniales y los académicos. Los primeros tienen el valor de constituir una fuente de primera mano para conocer a las grandes mujeres biografiadas. Los segundos están basados, mayoritariamente, en los propios"
"Un amor en el recuerdo: El mejor regalo para San Valentín, una novela de Harlequin", Annie West,"Harlequin, una división de HarperCollins Ibérica, S.A.","Bianca 2024 Un espléndido baile de máscaras no era lugar para la poco agraciada recepcionista Carys Wells. Acostumbrada a pasar desapercibida entre los famosos, se sentía vulnerable ante la mirada ardiente de un hombre enmascarado. Lo que menos se imaginaba era que era el mismo del que había huido dos años antes y que su magnetismo sexual volvería a causar su perdición. Alessandro Mattani no recordaba a Carys, pero su cuerpo sí lo hacía…íntimamente. Y el italiano estaba resuelto a reclamar todo lo que consideraba suyo. El mejor regalo para San Valentín, una novela de amor de Harlequin"
La casa del algodón, Eva García,Editorial Agua,"Esta novela está inspirada en hechos reales. Un relato inusual bajo la mirada de una protagonista a menudo invisible en nuestros libros de historia: la mujer. Su narración acontece en una época de la que solo podemos intuir, de forma fugaz, la dureza del entorno de los que la protagonizaron. Les acercamos a aquellos inexplorados años para ser testigos, con fugaces momentos, de lo que ocurrió gracias al relato de Sara, madre, hija, esposa y guerrera incansable, con un inquebrantable espíritu de superación. Navegaremos por el reinado de Felipe II, nos enfrentaremos a los ingleses invasores, conoceremos más del Siglo de las Luces, de la Revolución francesa, de la revuelta de Haití, de las plantaciones en La Habana… Les invitamos a subir con Sara al desván de los recuerdos, a trastear en sus cajas y leer en sus documentos, para que puedan intimar con esta familia que por cientos de años ha sido fiel al cumplimiento de una promesa: preservar y transmitir el legado de lo que les aconteció. Los Ponce de Villasanta son fuertes como un roble y duros como la piedra, su vida no fue fácil, pero a pesar de los avatares del tiempo, con sus impredecibles misterios, logran crecer en la adversidad. Se hacen fuertes, a veces casi invencibles."
Lightlark (Lightlark 1),  Alex Aster Victoria Simo Perales Translator,Penguin Random House Grupo Editorial España,"Súmate a la ola #Lightlark, el éxito bestseller que ha revolucionado #BookTok. Seis reinos malditos. Una vez cada cien años, sus líderes compiten a muerte para liberar a su pueblo. Isla Crown es la joven soberana de Wilding, un reino de mujeres guerreras que no conocen el amor y que confían en ella para ganar el Centenario. Para sobrevivir, Isla está preparada para mentir y traicionar. Aunque no cuenta con algunos lazos que la unirán a sus rivales, ni tampoco con enamorarse de quien puede ser su peor enemigo... Críticas: «Un soplo de aire fresco. Repleta de secretos y de magia fascinante, Lightlark te hechizará y te dejará con la boca abierta con estos audaces líderes luchando por romper sus maldiciones». Chloe Gong, autora de Placeres violentos, bestseller del New York Times. «Lightlark es el tipo de fantasía que mima los sentidos: primero te seduce y luego te sorprende con sus giros. No querrás dejarlo». Marie Lu, autora de Los jóvenes de la élite. «Si Los juegos del hambre fuera un oscuro cuento de hadas, tendrías la adictiva y encantadora Lightlark. Prepárate para adentrarte en un mundo deslumbrante dondeel amor es una sentencia de muerte». Adam Silvera, autor de Al final mueren los dos, número 1 del New York Times. «Una fantasía ágil y efervescente, con un mundo querebosa intriga, romance y tensión. No podía pasar las páginas más rápido». Sabaa Tahir, autora de Una llama entre cenizas, número 1 del New York Times."
La desconocida,   Rosa Montero Juan Carlos Durán Romero Translator Olivier Truc,Penguin Random House Grupo Editorial España,"EL REGRESO DE ROSA MONTERO A LA NOVELA NEGRA, JUNTO AL GANADOR DEL PREMIO QUAIS DU POLAR OLIVIER TRUC Es de noche y en el puerto de Barcelona un guardia hace su ronda cuando su pastora alemana se para en seco a olfatear desesperadamente un contenedor. Al llegar, los mossos d’esquadra hallan en su interior a una mujer en posición fetal, inconsciente y deshidratada. Tiene una brecha en la sien, quemaduras en la cara y el cuerpo, y no recuerda quién es ni cuál es su lengua materna, pero está viva. Mientras se recupera enel Hospital Clínic, un hombre intenta asesinarla. La inspectora Anna Ripoll, experta en trata de mujeres, parece haber dado con su identidad y su dirección: Alicia Garone; 19, rue du Chariot, Lyon. En la ciudad francesa el inspector Erik Zapori busca el modo de librarse de la investigación a la que asuntos internos lo está sometiendo por delitos de corrupción y proxenetismo. Nada mejor que viajar a España a ayudar en la resolución de un caso, aunque puede que este sea el más complejo de su vida. Rosa Montero, una de las autoras más queridas y premiadas en lengua española, vuelve a la novela negra, esta vez acompañada por Olivier Truc, ganador del Premio Quais du Polar, el más prestigioso galardón francés del género policiaco. «Química negra a cuatro manos». Anna Abella, El Periódico La crítica ha dicho sobre Rosa Montero: «No hay mejor escritora en castellano que Rosa Montero». Juan Gómez Jurado «Suprosa tensa y directa rehúye el desplante y la pretensión. Rosa Montero es mi amiga íntima de la ficción». Mario Vargas Llosa «Rosa Montero maneja el lenguaje como nadie». Javier Lahoz, El Periódico «Quedarse hasta las tantas de la mañana es algo que ocurre con los libros de Rosa Montero». Pilar Sanabria, Más de uno (Onda Cero) «Rosa Montero está atiborrada de talento, y cuando embraga párrafo no pone freno a su desbordada fantasía. Esta estupenda y muy sugerente escritora posee un adjetivo con hechizo y goza en el acto de escribir». Matías Antolín      Read Full Overview"
La ley del hambre,  Ana Ballabriga David Zaplana,Contraluz Editorial,"Una historia que te arrastrará inexorablemente hasta un final explosivo En una noche de tormenta, el cabo Caín Álvarez, de la Guardia Civil, acude con la patrulla a la llamada de los vecinos de Candasnos, un pequeño pueblo de los Monegros, que escuchan gruñidos aterradores en la balsa. Al llegar, un animal monstruoso les ataca y huye, dejando en el agua un brazo amputado. Caín pronto descubrirá que esta víctima no es la primera ni será la última. En Barcelona, Vera es despedida de su periódico por publicar un artículo donde denuncia la mala praxis de Semilia, una empresa de semillas transgénicas ubicada en Candasnos. En lugar de resignarse, decide viajar al pueblo para continuar su investigación y descubrir los oscuros secretos que la empresa esconde. Cuarenta años atrás, Calixta presencia un hecho terrible en la casa de los caciques de Candasnos donde trabaja como criada. Tras quedar viuda, viaja a Barcelona e inicia una carrera como vedete en El Molino, pero no podrá sustraerse a su destino y la maldición que la persigue. Con una prosa directa como un disparo a quemarropa, Ana Ballabriga y David Zaplana entretejen estas tres historias hasta su impresionante final. ¿Por qué Candasnos parece ser el centro de una oscura red de misterios y secretos tejida sobre sus piedras? ¿Conseguirán sus habitantes liberarse del control de los Crispos y de la maldición que parece, desde siglos atrás, ensañarse con algunos de ellos? ¿Qué papel juegan Caín, y Calixta, y Vera, en esta historia coral tan impactante como adictiva?"
Retrato de una desconocida, Daniel Silva,HarperCollins Ibérica S.A.,"En la nueva y deslumbrante obra maestra de Daniel Silva, autor número uno de la lista de superventas de The New York Times, Gabriel Allon se embarca en una búsqueda trepidante para descubrir al mayor falsificador de arte que jamás haya existido. Tras cortar sus lazos con los servicios de inteligencia israelíes, el legendario espía y restaurador de arte Gabriel Allon se instala discretamente en Venecia, el único lugar donde ha conocido la paz. Su bella esposa, Chiara, dirige la Compañía de Restauración Tiepolo y sus dos hijos de corta edad acuden a una scuola elementare del barrio. Gabriel, entretanto, dedica sus días a vagar por las calles y los canales de la ciudad acuática, desprendiéndose de los demonios de su trágico y violento pasado. Pero cuando Julian Isherwood, el excéntrico marchante de arte londinense, le pide que investigue las circunstancias que rodean el redescubrimiento y la lucrativa venta de un cuadro centenario, Gabriel no tarda en descubrir que la obra en cuestión, un retrato de una mujer anónima atribuido a Anton van Dyck, es casi con toda certeza una falsificación hecha con diabólica habilidad. Para encontrar al misterioso personaje que pintó el cuadro —y destapar un fraude multimillonario en la cúspide del mundo del arte—, Gabriel concibe uno de los planes más complejos de su carrera. Si quiere tener éxito, habrá de convertirse en la imagen especular del hombre al que busca: el mayor falsificador de cuadros de la historia. Elegante, sofisticada y brillante en su trama argumental, la nueva novela de Daniel Silva es un recorrido fascinante por el lado oscuro del mundo del arte. Desde su elegante comienzo hasta los impactantes giros de su clímax, Retrato de una desconocida es una de las mejores historias de robos jamás escritas. Y una prueba más de que, dentro del género de la intriga y el suspense internacionales, Daniel Silva no tiene igual. «EL MEJOR REPRESENTANTE A NIVEL MUNDIAL DE LA NOVELA DE ESPÍAS». THE WASHINGTON POST «Leer lo último de Gabriel Allon es como visitar a un viejo amigo. Una proeza más del gran maestro». Bob Woodward «Silva sabe escribir de verdad». James Patterson «Una evasión veraniega llena de inteligencia». Kirkus «La trama es prodigiosa, pero el verdadero atractivo del libro es su mirada meticulosamente detallada sobre el arte de la falsificación». Booklist «Pocas experiencias lectoras me emocionan más que abrir la nueva novela de Gabriel Allon cada verano». CrimeReads «Silva siempre nos brinda una obra maestra». Oklahoma City Friday"
El poder de quererte, María Paz Blanco,Planeta Chile,"""Si tienes que elegir, elígete siempre a ti. Te mereces absolutamente todo en esta vida por el solo hecho de existir. Ámate como eres, reconócete como un milagro de la vida y nunca subestimes el poder de quererte"". ¿Tienes ganas de superarte?, ¿de darle un sentido enriquecedor a tus vivencias?, ¿de transitar con más fortaleza y con nuevas herramientas?, ¿de elevarte como persona para llevar una vida más auténtica y consciente?"
Dando la nota / Diper Överlöde, Jeff Kinney,PRH Grupo Editorial,"En Dando la nota, el libro 17 de la serie Diario del Wimpy Kid —del autor número 1 en ventas internacionales Jeff Kinney—, Greg Heffley descubre que el camino a la fama y la gloria no está libre de obstáculos.   Cuando Greg decide unirse a la banda Löded Diper, de su hermano Rodrick, no tiene idea de lo que está haciendo. Pronto descrubre de que las trasnochadas, los conciertos no remunerados, las peleas entre los miembros de la banda y los problemas económicos son parte del estilo de vida del Rock and Roll.   ¿Podrá Greg ayudar a Löded Diper a convertirse en la banda legendaria que creen ser? ¿O demasiado tiempo con Rodrick y los músicos será demasiado hasta para él?  ENGLISH DESCRIPTION   In Diper Överlöde, book 17 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley is finding out that the road to fame and glory comes with some hard knocks.   When he decides to tag along with his brother Rodrick’s band, Löded Diper, Greg doesn’t realize what he’s getting into. But he soon learns that late nights, unpaid gigs, fighting between band members, and money troubles are all part of the rock ’n’ roll lifestyle.   Can Greg help Löded Diper become the legends they think they are? Or will too much time with Rodrick’s band be a diper överlöde?"
